F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128
446,80,500,177,383,7,1,0,531,4,0,64,24,3149,0,0,0,15,1,0,2,0,0,0,0,48,43,759,8,5,7,313,0,8,0,0,1634,2,0,0,163,75,10,0,16,0,1,15,0,0,3,47,0,0,2,1,12,0,4,36,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,27,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,363,19,144,20,0,0,0,676,0,6,9,0,1721,0,0,10,0,5,0,6,0,8,0,0,1,7123,66,2,28,16,376,0,2,3,0,0,0,0,0,292,71,0,35,0,0,7,0,0,0,3,1,0,0,1,22,0,0,0,5,0,0,1,0,0,0,0,0,13,0,16,7,3,0,0,0,257,27,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
15,2380,5,179,66,0,0,221,162,0,2,38,81,945,124,0,0,4,9,0,2,0,0,0,0,43,101,140,18,75,35,0,0,0,0,0,207,0,1,0,10,69,0,23,0,0,16,15,1,0,3,15,0,0,0,15,0,0,0,7,0,0,1,0,0,0,0,0,5,0,0,6,6,0,0,9,771,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,448,0,206,0,187,0,72,268,0,0,148,0,6842,70,0,0,118,6,0,17,0,12,0,0,54,0,146,6,7,0,740,0,8,61,0,0,2,0,0,0,35,0,153,0,14,0,0,0,0,0,16,602,17,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,497,0,108,439,44,0,0,149,0,9,0,539,182,23,0,0,13,0,8,0,2,9,0,0,39,80,103,9,7,227,19,0,6,0,0,0,0,0,0,199,26,0,102,0,14,2,0,0,0,2,1,4,0,2,10,0,0,0,19,2,0,0,0,0,0,1,0,6,0,0,0,103,0,0,23,2,5,0,0,0,0,0,0,5,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,767,114,272,501,0,0,0,271,0,5,39,16,0,55,0,0,0,17,0,0,12,0,0,0,0,80,69,166,10,0,0,0,2,10,0,0,0,0,0,0,53,0,16,2,1,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,9,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,18548,138,82,1305,52,0,2,101,9,7,126,15,60,26,23,79,297,1,1,0,0,0,0,67,53,20,127,14,13,2,4,0,1,4,0,0,0,0,1243,10,64,0,15,0,2,3,13,0,0,1,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,46,0,8,1597,0,0,0,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
458,214,2,2742,409,0,0,4,0,0,0,48,33,1709,14,0,0,142,15,0,14,0,20,0,0,0,19,87,31,0,17,3,39,3,274,3,0,0,103,0,0,36,1,4,1,0,3,12,0,0,30,3,0,0,0,29,0,0,2,12,0,0,0,0,0,2,0,1,5,0,0,25,13,0,0,183,0,67,0,0,8,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,3,1,4,0,2,0,0,5,0,0,0,6,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
174,66,2,162,250,0,0,1251,30,0,179,10,85,0,124,0,0,36,1,0,4,0,13,1,0,278,8445,61,4,4,40,12,10,3,1359,0,0,0,0,0,7,82,0,430,0,1,0,0,0,0,1,10,21,5,0,33,1,0,18,12,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,101,9,1057,0,0,0,0,0,0,0,3,1,0,0,0,0,20,0,0,0,0,2,0,5,0,15,0,0,0,1,0,6,0,11,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0,661,43,12697,0,4009,0,108,53,0,4,84,0,1686,29,0,9051,0,20,0,0,0,0,0,103,0,113,77,57,2,11,477,0,1,0,0,0,2,31,43,0,30,0,10,7,1,5,4,0,13,37,14,21,11,0,24,0,0,0,26,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,296,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
96,2476,157,131,384,67,0,0,271,0,11,127,0,494,77,11,34,23,5,14,40,0,0,0,6,0,118,80,0,4,8,215,0,0,0,0,0,0,0,28,0,47,0,24,2,0,69,0,0,1,4,1,0,0,0,0,2,0,0,56,0,0,1,0,0,0,0,0,2,0,0,21,2,0,0,0,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2762,140,5926,80,3,0,651,1278,0,0,70,64,3446,39,0,7589,0,11,1,1,1,2,0,0,0,46,0,1,7,0,0,6,2,3,0,0,2,0,0,237,57,1,25,0,11,5,17,0,0,0,3,12,51,0,8,0,0,17,6,0,0,0,0,1,0,1,0,5,1,0,182,59,0,0,368,7,10,0,0,0,0,0,0,0,1,1,0,0,0,2,39,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
54,470,104,99,14,2826,0,0,56,0,371,0,156,463,133,95,48,0,15,0,3,2,5,0,0,59,81,0,5,27,167,88,41,3,0,1,10,0,0,0,20,67,0,3,0,0,0,0,1,0,0,1,0,0,0,29,0,0,0,4,0,0,1,0,0,0,1,0,6,0,80,2,299,0,0,44,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,0,149,177,11,0,0,0,47,0,12,25,0,8172,11,0,0,150,2,0,0,1,36,0,0,41,25,126,12,26,78,16,6,4,7,0,3279,0,0,0,133,0,0,21,15,1,0,0,1,0,3,1,233,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,64,462,2,0,0,0,8,0,0,0,1,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
519,156,8,45,16,193,0,0,72,0,9,0,70,169,0,0,0,10,5,8,18,16,37,0,0,17,73,116,4,5,17,8,24,0,9,0,0,0,0,0,338,24,0,0,0,0,19,1,11,0,4,0,28,0,0,35,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,2,0,0,89,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,154,131,853,0,1,0,62,136,4,74,0,1847,41,2,0,19,5,0,6,0,0,0,52,0,10,144,6,19,465,0,0,2,0,0,0,0,0,0,0,0,0,15,0,2,1,0,5,0,5,1,1,1,0,16,9,0,0,5,2,0,1,0,0,0,1,0,8,0,0,0,337,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,282,15,137,321,0,0,0,57,0,6,0,77,0,0,0,0,914,20,0,8,17,0,0,10777,449,98,103,4,57,634,12,0,2,0,0,0,4,0,0,17,0,0,15,4,1,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,87,0,0,2,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,0,0,131,0,135,0,96,85,0,319,51,4,637,13,0,0,6,7,12,8,10,4,0,14,4327,9,104,1,7,28,19,783,2,0,0,0,3,0,0,5,8,8,4,0,0,10,3,0,6,0,14,804,1,0,544,0,0,0,39,0,0,1,0,0,0,0,0,6,0,42,21,16,0,0,70,11,0,0,0,0,0,4,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,1778,253,266,0,0,188,61,0,0,0,0,608,7,0,0,0,5,7,0,19,8,0,0,25,16,652,22,8,0,14,13,5,6,0,0,0,0,0,0,22,0,96,0,1,5,9,0,0,0,1,5,0,1,23,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1524,6,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9986,26,132,403,0,0,0,829,8,0,58,0,1973,7,0,0,0,19,0,0,2,0,0,39,39,44,97,17,8,21,6,0,4,48,0,0,1,0,0,8,64,0,8,0,1,0,6,0,0,3,1,6,1,4,23,0,0,0,7,0,0,1,0,0,0,1,0,2,0,0,0,5,0,0,0,4,31,0,0,1,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,36,0,356,22,0,187,352,7,6,36,4,801,9,10,15796,20,28,0,0,5,16,0,12,10,105,12706,6,0,13,186,270,0,2,0,11,0,2,0,0,56,0,0,0,1,14,1,10,0,1,0,0,40,0,0,0,12,0,14,0,0,0,0,0,0,0,0,6,0,0,0,198,0,0,0,12,219,1,0,44,0,4,0,0,11,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1330,0,0,519,15,0,92,910,0,4,0,14,0,139,113,31,0,5,12,1,2,3,0,0,45,70,92,22,7,1093,12,23,7,4,0,0,0,0,424,0,67,8,14,0,1,1,0,28,0,0,1,33,1,0,417,0,0,0,23,1,0,1,0,0,0,1,0,4,8,36,147,29,0,0,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,65,717,0,300,0,262,48,0,441,0,0,13387,91,0,23,71,2,0,206,0,5,0,0,89,116,110,7,0,293,7,95,4,7,0,28,3,1,0,21,39,0,62,0,9,0,0,0,0,0,0,12,0,0,18,0,12,0,39,0,0,1,0,0,0,0,1,5,0,62,11,0,0,0,0,5,577,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,500,115,3773,0,0,0,0,162,1,3,0,0,45,22,0,11,21,15,13,2,0,27,0,0,0,110,134,2,18,31,295,55,0,237,0,10,4,0,0,175,82,0,28,0,0,4,0,0,0,2,1,0,0,128,6,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,925,8,125,0,0,1,2467,21,3,0,10,0,917,21,0,99,0,4,0,0,3,1,0,0,51,81,73,7,7,1181,5,0,4,5,0,0,0,0,0,0,44,0,81,0,15,0,1,3,140,35,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,9,0,0,1,0,0,0,78,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2357,490,21,154,482,30,1,30057,31,0,11,5511,13,0,0,0,0,847,5,2,365,6,14,0,23,0,2,45,9,16,241,13,15,1,2,0,0,0,0,32,0,6982,0,28,14,62,0,1,0,6,0,15,18,0,0,0,15,1,12,8,0,0,33,0,0,0,34,1,17,0,0,0,13,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,754,196,131,415,0,0,616,14,0,79,90,0,755,43,7,80,13,4,0,35,1,0,0,111,892,77,83,0,7,34,2,0,1,0,0,1,0,0,4,65,0,2,54,0,0,0,8,7,0,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,1,0,2,0,0,5,5,0,0,92,3,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7240,571,8,23,31,0,0,0,238,3,76,87,57,0,22,0,0,7,4,0,21,0,23,0,28,42,45,117,5,24,24,20,0,7,0,0,0,0,0,0,13,67,0,16,0,1,0,0,2,0,3,1,0,0,0,41,0,0,0,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17684,1984,21,162,0,0,0,0,552,4,0,39,2225,141033,0,0,0,1191,11,0,0,3,28,0,0,21,66,70,10,4,24,15,0,5,0,0,0,1,0,0,4,31,0,76,1,0,19,0,8,4,3,1,18,2,19,4,0,0,5,7,11,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,249,1,0,0,2,0,0,22,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,194,66,229,0,0,0,251,151,0,338,28,58,0,42,0,7523,0,0,4,3,0,0,0,0,68,81,56,154,7,18,14,0,1,92,0,0,0,0,0,5,25,0,1,0,0,0,0,3,0,0,11,0,60,51,29,0,0,0,13,0,0,0,0,0,0,0,0,1,0,25,861,122,1,0,27,1,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,149,187,322,730,1,244,16,101,803,19,0,443,7,0,555,0,20,12,0,0,0,0,68,33,38,35,3,0,202,4,0,2,0,0,2,5,1,0,5,1289,0,94,2,2,0,0,1,0,2,0,0,142,0,607,1,0,0,64,0,0,11,0,0,0,6,1,4,0,94,997,180,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,1,0,4,0,0,2,0,0,3,8,0,0,0,0,1,0,0,0,0,0,2,0
202,458,3,239,0,648,0,89,54,0,0,31,61,607,0,0,0,0,5,0,21,0,16,0,0,83,20,117,13,6,3,2,0,9,0,0,0,2,0,0,0,56,0,4,0,0,0,12,62,17,34,14,25,0,4,40,0,0,0,9,0,0,1,0,0,0,0,0,3,0,0,0,125,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,268,131,112,19,0,0,0,201,0,7,39,48,95,5,0,0,14,3,0,9,0,5,0,35,46,58,0,3,6,233,12,0,0,72,0,0,0,0,0,18,47,0,111,0,7,2,0,0,0,4,3,0,0,18,26,0,0,0,3,0,0,0,0,0,0,1,0,7,0,0,0,62,0,0,20,9,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,468,61,168,32,0,1,39,763,0,5,61,0,789,58,0,0,113,7,0,9,5,28,0,0,2616,122,68,0,7,8,17,7,10,82,0,0,0,1,45,12,25,0,327,3,10,0,8,4,0,0,4,27,7,0,26,0,0,0,3,0,0,1,0,0,0,1,0,4,0,0,0,0,0,4,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,191,72,99,168,0,0,193,883,0,1,39,2798,6637,133,0,0,116,5,0,79,1,14,0,7,20,11,81,11,5,5,42,70,3,4,15,2,674,3,224,196,5805,0,581,0,0,0,1,0,0,0,3,0,25,0,20,1,0,0,2,0,0,1,0,0,0,1,0,4,0,646,0,2,0,0,0,193,71,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,85,44,137,367,0,0,22,94,0,5,37,0,7743,0,0,0,0,5,0,0,6,17,0,0,0,89,48,15,6,55,9,0,0,9,0,0,0,0,0,10,0,12,96,0,0,2,0,3,0,0,0,26,3,0,2,0,0,0,55,0,0,1,0,0,0,1,0,2,0,0,0,6,0,0,15,6,1,0,0,1,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,109,195,256,0,0,27,45,9,62,0,4,1562,113,0,0,0,7,0,16,0,0,0,8,46,89,51,5,5,18,22,0,4,3,0,7,5,0,0,5,25,0,10,0,0,12,0,19,0,0,5,0,2,0,29,0,0,0,70,0,0,0,0,0,0,1,0,7,0,0,36,1,0,0,33,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,353,18,3328,460,0,0,59,194,0,5,81,81,752,3,0,0,0,7,0,0,2,3,0,23,45,67,87,18,23,208,37,15,4,6,0,0,277,0,0,18,94,0,103,0,1,10,0,0,0,6,8,13,0,1,26,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,83,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
