,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128
14,8407,20763,-27,8354,-1,3362,0,5445,-31,2099,0,969,2905,116374,17,52,5487,70,6,3,-26,9,50,0,-98,23,-180,67,-2,20,-17,258,-67,1,13,0,-57,-22,0,7,-111,404,0,5,0,3,1,0,0,0,19,2,695,-13,11,2262,0,0,0,7,-2,0,-6,8,191,0,-2,0,-49,0,1289,1293,-31,5,3,1273,633,30,0,0,90,0,0,0,-2,-4,-9,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,341,110,47,1352,1275,305,0,-1361,136,-1,15,115,972,5659,1,132,584,-42,-24,0,744,27,47,0,301,-34,103,313,-10,8,87,49,51,21,-17,0,-49,20,15,92,-51,-248,0,3,0,4,1,-1,2,28,9,2,-54,-39,-1,308,0,0,0,3,0,0,-1,-5,-7,0,74,0,-7,0,454,91,20,1,-6,166,294,32,0,0,-2,0,0,0,0,0,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,359,-3,52,1168,1213,28,1,-1625,116,12,1,312,974,5850,-14,27,156,-21,-15,0,725,11,36,0,-276,-124,-258,-20,-6,1,39,6,3,22,-33,0,-68,16,7,78,-84,-168,0,6,0,6,1,-1,2,28,15,-2,-10,-36,-1,299,0,0,-1,3,1,0,-3,-6,-79,0,72,0,-13,0,22,16,12,2,-6,-30,247,48,0,0,0,0,0,0,-1,1,-5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,629,161,31,1443,1292,269,0,-1496,96,4,13,141,935,5932,0,100,373,-29,-24,0,731,24,46,0,209,-25,256,369,-3,16,74,43,38,18,-18,0,-42,19,11,72,-43,-146,0,3,0,3,1,-1,2,28,19,1,-50,-38,-1,284,0,0,0,4,1,0,0,-5,-15,0,75,0,-16,0,367,77,13,3,-4,275,305,27,0,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,112,-291,44,428,337,435,0,-414,87,6,64,38,8,5811,362,-7,715,98,-2,0,-37,30,40,0,500,-8,172,207,17,-6,45,95,100,6,248,16,-11,3,-1,77,-52,19,15,94,16,23,3,3,3,7,12,4,100,23,-2,42,0,0,0,5,4,0,-3,1,13,0,13,0,-9,0,288,73,492,6,-1,395,587,78,0,0,2,0,0,0,0,-2,-2,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8322,20399,-54,7783,86,3526,0,5506,55,1951,9,530,2744,110441,16,114,6059,53,0,0,3,11,32,0,202,-61,306,513,-4,14,27,238,-53,1,-5,0,-30,-2,-4,31,-26,180,0,4,0,-1,0,0,0,0,33,1,697,-16,12,2147,0,0,-1,3,-2,0,-2,6,185,0,-1,0,-13,0,1393,1246,-12,4,3,1497,692,6,0,0,82,0,0,0,0,-2,-2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,304,456,32,1035,634,389,0,165,60,-20,62,86,275,5562,304,11,274,70,-9,0,231,30,40,0,-26,84,-313,-164,4,5,103,80,92,9,193,14,2,9,-1,63,-54,37,13,79,12,23,3,1,2,14,21,5,25,-13,-1,139,0,0,0,9,4,0,-1,0,-67,0,32,0,-6,0,-96,92,421,0,-2,92,550,75,0,0,2,0,0,1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,254,-40,48,1133,989,-6,1,-1208,7,-3,-5,309,768,2575,-22,30,-457,-7,-16,1,632,3,37,0,-753,-71,-661,-559,-3,9,32,21,12,20,-26,0,-91,8,6,93,-72,-96,0,5,0,3,1,-1,1,22,17,0,-12,-32,0,254,0,0,0,1,0,0,-2,-5,-49,0,59,0,-34,0,-514,39,-2,6,-3,-460,185,32,0,0,0,0,0,0,-2,0,-3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,123,-448,44,-15,319,368,0,-175,104,26,65,58,1,4354,357,-16,973,94,-3,0,-52,29,24,0,715,-94,291,283,16,-14,17,96,102,15,222,16,-23,5,-3,121,-92,-37,15,91,14,21,3,3,2,6,21,7,195,40,-1,41,0,0,0,6,3,0,-4,3,18,0,8,0,-1,0,581,82,500,8,-1,588,587,90,0,0,3,0,0,0,-2,-2,1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8527,20679,-33,8522,0,3310,0,5633,-51,2132,5,967,2916,119017,17,71,5480,55,8,2,-50,12,56,0,-134,38,-207,61,-11,23,-30,262,-67,-7,7,0,-55,-24,2,-21,-87,400,0,6,0,4,2,0,0,0,33,4,747,-18,11,2283,0,0,0,8,-1,0,-9,7,189,0,-1,0,-49,0,1344,1311,-21,4,4,1273,650,40,0,0,93,0,0,0,-2,-4,-10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3032,7770,24,3124,193,1508,0,2094,61,657,37,224,954,41349,177,29,2434,79,-3,0,11,12,44,0,68,-13,170,284,2,4,35,139,19,10,113,8,-26,0,-3,33,-64,70,7,50,7,12,1,1,1,3,25,1,226,-14,4,817,0,0,0,3,0,0,-2,3,116,0,7,0,-17,0,385,505,221,3,0,633,544,17,0,0,30,0,0,1,0,-3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,524,-59,39,1608,1258,389,0,-724,56,-9,46,47,855,5538,128,116,-335,-25,-27,0,711,37,63,0,-578,44,-895,-666,-1,4,64,54,76,19,81,6,-58,14,8,91,-85,-136,5,37,5,14,1,-1,2,30,18,5,-42,-28,-2,325,0,0,0,6,1,0,-2,-5,-39,0,75,0,-19,0,-503,83,214,5,-5,-616,471,34,0,0,-1,0,0,0,0,-2,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,580,-144,36,1518,1217,384,0,-579,26,9,41,75,875,4640,127,62,-278,-24,-26,0,705,30,54,0,-558,43,-986,-701,-3,6,73,43,66,16,56,6,-36,11,8,95,-78,-111,5,34,5,15,2,-1,2,29,20,4,-27,-29,-1,307,0,0,0,7,1,0,-1,-4,-89,0,74,0,-9,0,-531,85,206,4,-4,-558,438,45,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,8297,20354,-23,8376,-17,3202,0,6025,-131,2107,14,1027,2807,116330,8,63,5395,7,16,0,-99,22,69,0,-166,43,-294,28,-15,33,-17,261,-59,-30,5,0,-28,-26,2,-54,-74,351,0,9,0,6,1,-1,0,2,42,4,747,-26,10,2156,0,0,-1,7,-1,0,-15,8,167,0,-1,0,-47,0,1337,1257,-6,7,4,1215,660,52,0,0,91,0,0,0,-1,-5,-14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,509,138,128,343,-6,114,0,309,50,-65,-4,78,-82,-141,-7,-7,50,29,-6,0,25,2,16,0,46,51,-113,31,-2,11,0,-6,-2,5,-15,0,-16,-5,-5,50,-68,-1,0,4,0,-5,1,0,0,0,-20,0,-91,-15,0,36,0,0,0,-2,0,0,-1,1,61,0,3,0,11,0,-45,54,-16,3,-2,-20,57,-16,0,0,-1,0,0,0,2,0,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5773,13217,86,5103,-7,2327,0,3817,12,1241,0,419,1718,70618,-1,12,3598,33,-4,0,1,1,26,0,-132,-40,-195,0,-3,6,0,151,-27,0,-5,0,-29,-16,-4,70,-130,19,0,4,0,-1,0,0,0,0,-9,-1,349,-21,8,1436,0,0,-1,0,-2,0,0,7,178,0,0,0,6,0,745,815,-16,0,-1,679,509,-37,0,0,53,0,0,0,2,-2,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1490,3876,33,1861,71,738,0,1129,47,342,-4,345,739,21242,6,-14,1295,50,-5,2,129,2,37,0,91,-20,-28,26,8,0,70,42,-18,15,9,0,-30,-6,-6,74,143,161,0,1,1,-4,0,0,0,1,14,0,76,10,1,413,0,0,0,-1,-1,0,-1,0,70,0,6,0,-36,0,292,298,-22,0,1,266,178,42,0,0,14,0,0,0,-1,-1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,575,307,194,409,-40,187,0,178,20,-38,-7,151,-64,-967,-25,21,-29,6,-2,0,-5,1,1,0,-186,66,-335,-155,-2,11,-5,8,-9,6,1,0,0,-17,-17,85,-137,-36,0,6,0,-6,1,0,0,0,-31,0,-124,-15,0,54,0,0,0,-3,0,0,0,4,79,0,6,0,20,0,-256,43,-20,0,-1,141,62,-21,0,0,0,0,0,1,3,0,110,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,8466,20704,-23,8661,-14,3212,0,5735,-100,2140,10,1101,2896,119259,17,50,5361,43,11,2,-76,16,66,0,-117,75,-257,56,-16,31,-54,265,-70,-16,10,0,-56,-31,6,-61,-101,460,0,8,0,5,2,0,0,0,35,6,756,-22,10,2252,0,0,0,10,-1,0,-14,8,193,0,-1,0,-61,0,1406,1310,-18,7,5,1300,641,51,0,0,94,0,0,0,-2,-5,-13,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8523,20836,-41,8372,17,3435,0,5502,-24,2105,0,888,2961,116904,20,54,5598,64,2,2,-3,8,46,0,-181,8,-180,27,-2,17,-13,258,-70,2,15,0,-60,-21,0,14,-65,348,0,4,0,1,1,0,0,0,27,3,708,-8,11,2285,0,0,0,7,-2,0,-5,7,185,0,-1,0,-54,0,1322,1308,-23,4,3,1243,664,32,0,0,90,0,0,0,-2,-4,-8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1068,1800,27,1537,652,241,0,-4,-25,176,-6,345,816,12683,-16,21,110,19,-11,1,463,-3,25,0,-733,-89,-628,-555,-6,0,52,17,-15,22,-19,0,-52,3,-1,73,-30,-19,0,6,0,1,1,-1,1,16,32,0,11,-26,0,402,0,0,0,0,0,0,-4,-3,-8,0,39,0,-38,0,-340,139,0,1,0,-258,195,42,0,0,8,0,0,0,-2,-1,-4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4045,10171,6,4145,45,1701,0,2674,19,985,-7,497,1466,53844,14,-3,2792,61,-5,2,80,0,30,0,-100,-55,-118,-31,4,-1,64,103,-33,14,6,0,-42,-4,-1,65,22,225,0,3,0,-2,0,0,0,0,10,0,254,4,5,1093,0,0,0,2,-1,0,-1,2,97,0,0,0,-39,0,535,635,-24,-1,2,525,334,23,0,0,40,0,0,-1,-2,-2,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,8286,20273,5,8492,-29,3125,0,5945,-90,2132,20,1108,2775,119153,9,50,5291,9,12,0,-104,16,73,0,-217,117,-361,9,-35,24,-21,263,-73,-26,0,1,-17,-35,4,-76,-109,389,0,8,0,5,1,-1,0,1,43,7,773,-32,10,2165,0,0,0,9,-1,0,-14,5,193,0,-3,0,-43,0,1372,1278,-2,4,6,1308,649,68,0,0,93,0,0,0,-1,-8,-13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8643,21093,-46,8309,82,3562,0,5595,-9,2106,10,726,2917,117378,15,101,6141,30,4,0,-51,15,39,0,95,-39,208,378,-2,24,-1,262,-66,-7,8,0,-12,-10,-3,-15,-16,276,0,6,0,1,1,-1,0,0,44,1,740,-16,12,2251,0,0,-1,5,-1,0,-6,9,183,0,0,0,-35,0,1574,1298,-12,7,4,1605,721,22,0,0,89,0,0,0,0,-3,-7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4089,9616,36,3733,-4,1725,0,2700,4,924,0,345,1264,52277,-5,6,2919,10,-5,0,1,-2,18,0,-18,-55,-148,38,-5,0,0,111,-16,-1,1,0,-9,-13,-3,62,-78,19,0,1,0,-2,0,0,0,0,0,-1,228,-17,6,1058,0,0,0,0,-1,0,-1,7,163,0,1,0,0,0,555,605,-11,0,0,522,447,-34,0,0,38,0,0,0,0,-1,37,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,829,957,26,1648,437,537,0,315,147,-56,25,270,1249,13242,34,-11,1279,132,-13,3,469,0,61,0,198,-64,-17,83,13,13,66,-14,30,20,29,2,-12,7,-2,8,990,285,2,8,2,0,0,0,0,10,-8,-2,259,25,0,50,0,0,0,1,0,0,-4,-3,-7,0,33,0,-17,0,611,400,12,1,2,232,377,141,0,0,0,0,0,0,-2,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,46,408,20,589,245,253,0,233,101,-59,37,17,-25,4036,219,27,887,52,-3,0,-2,6,40,0,460,27,265,442,6,1,10,80,62,5,153,10,-24,3,0,45,-7,96,9,59,10,11,2,1,2,4,12,2,-6,-16,0,82,0,0,0,2,3,0,-5,0,77,0,8,0,-13,0,30,91,290,1,0,380,417,14,0,0,0,0,0,0,0,-3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8452,20647,-27,8446,0,3300,0,5928,-113,2125,13,956,2859,116853,11,56,5526,13,10,0,-82,18,58,0,-165,4,-260,4,-12,31,-27,256,-63,-25,9,0,-22,-27,4,-49,-44,312,0,9,0,5,1,-1,0,1,45,4,753,-24,11,2190,0,0,-1,7,-1,0,-13,9,172,0,0,0,-50,0,1405,1286,-8,7,4,1195,677,45,0,0,92,0,0,0,0,-5,-12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8423,20683,-32,8219,10,3446,0,5402,-12,2078,0,879,2926,115561,18,49,5561,65,3,3,-1,8,48,0,-178,23,-179,27,-1,15,5,260,-70,2,15,0,-69,-20,-1,32,-88,329,0,4,0,1,1,0,0,0,21,2,693,-8,11,2261,0,0,0,6,-2,0,-4,6,192,0,-2,0,-49,0,1278,1286,-23,3,3,1234,668,24,0,0,88,0,0,0,-2,-4,-6,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8534,20395,-13,8105,-18,3465,0,5410,27,2068,4,805,2787,116236,3,73,5671,16,-4,0,-42,-3,26,0,-404,20,-402,-84,-22,1,-6,242,-72,-2,0,0,-26,-23,-7,37,-126,162,0,0,0,1,0,0,-1,-1,9,0,685,-14,12,2242,-1,0,-1,4,-3,0,1,6,207,0,0,0,-4,0,1135,1266,-15,-3,1,1224,748,11,0,0,88,0,0,1,0,-5,22,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8385,20530,-30,8617,-17,3164,0,5743,-122,2124,12,1123,2863,118615,13,61,5311,29,14,1,-93,18,67,0,-138,83,-266,69,-16,34,-56,263,-64,-21,9,0,-53,-31,5,-71,-99,454,0,9,0,6,2,0,0,1,37,6,750,-25,10,2213,0,0,0,10,0,0,-15,8,183,0,-1,0,-57,0,1379,1293,-14,8,5,1283,640,57,0,0,93,0,0,0,-2,-5,-13,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
